Model,AUC
DAGAN,0.8948320413436692
SadTalker,0.8771795688648191
FOMM,0.919569178008788
Faceswap,0.8869583985323477
Talklip,0.8692649024325048
All,0.8896924231057765
All_Reencatment,0.890370033566471
